用户ID,用户出生日期,性别,婚姻状况,文化程度,下单时间,订单ID,交易金额
6414111,1991/8/24,男,已婚,本科,2020/1/1 17:41,1000595826,402.765811
6516117,1983/7/21,女,已婚,博士,2021/10/15 22:47,1000610643,545.2730618
6714112,1986/6/21,女,已婚,博士,2020/11/22 9:45,1001934364,256.7169735
5311117,1978/5/25,女,未婚,大专,2021/3/26 11:53,1007749907,275.5470799
4316113,1979/8/1,男,未婚,大专,2021/7/10 18:59,1007770144,1023.500156
6416111,2000/11/29,女,未婚,本科,2023/2/8 11:12,1008126279,435.1245191
3320119,1991/12/30,女,已婚,中专,2022/7/20 9:10,1008179025,749.1012689
5620119,1973/1/18,男,已婚,博士,2022/9/15 3:50,1010625282,1020.180141
6120117,1986/7/2,女,未婚,中专,2020/5/29 16:28,1010987514,431.9357384
3213111,1989/4/19,男,未婚,中专,2021/1/20 14:59,1011987390,388.0860304
3519119,1988/5/14,女,已婚,中专,2022/12/15 7:09,1012149687,571.9962759
3715117,1978/11/8,女,未婚,博士,2021/7/4 12:14,1012183445,1168.118856
6018116,1981/5/2,男,未婚,本科,2022/10/6 0:50,1012391212,858.4930544
6014115,1997/9/10,女,未婚,研究生,2023/4/23 10:44,1016654885,938.5338138
5711111,2000/6/23,男,已婚,本科,2020/10/8 20:08,1017570759,358.338065
5411111,1974/3/22,男,已婚,中专,2023/5/19 14:51,1017884095,132.6078742
3620112,1968/6/7,男,未婚,研究生,2023/1/17 0:17,1018833816,602.6665032
3418114,1997/4/12,女,已婚,大专,2021/2/24 4:47,1020244342,550.008846
4111113,1973/11/8,女,未婚,大专,2022/10/12 8:32,1021727866,603.8389711
6119112,1990/4/17,女,未婚,研究生,2022/11/20 6:58,1022347552,670.0651671
3219114,1982/11/26,女,未婚,研究生,2021/10/8 5:27,1026223877,390.4840231
6013114,1986/6/28,男,已婚,大专,2023/4/13 15:43,1027217880,1106.908009
5219117,1970/8/21,女,未婚,博士,2023/2/26 5:27,1028157426,518.4883884
6211115,1974/5/19,女,已婚,本科,2022/8/17 11:03,1031269933,956.9900761
3414118,1997/4/6,女,已婚,中专,2022/6/1 16:47,1033377764,533.8501115
5019120,1998/12/3,男,未婚,本科,2021/3/27 1:28,1033939903,146.5312523
5414112,1975/3/23,女,未婚,研究生,2022/8/8 17:44,1040186498,486.2419848
4216116,2000/7/12,男,未婚,研究生,2020/3/25 6:50,1040622411,880.4477692
3920115,1973/12/24,女,未婚,本科,2021/2/1 0:11,1041267492,589.2597368
4812118,1999/5/6,男,已婚,本科,2022/10/8 15:20,1041975160,719.6050508
3520120,1986/9/27,女,未婚,博士,2021/4/4 2:20,1045930331,717.2339311
5816111,1978/8/17,男,已婚,博士,2019/12/29 11:44,1046989436,963.5965013
5920115,1988/8/3,男,未婚,中专,2020/2/6 18:52,1047391500,65.39660183
4812118,1999/5/6,男,已婚,本科,2020/4/22 14:54,1047591793,925.4691291
6217114,1982/2/9,女,未婚,大专,2023/2/28 3:25,1049665294,557.8101096
5217118,1992/11/3,女,未婚,大专,2022/1/29 2:25,1051327074,1199.509772
6220116,1979/8/11,男,已婚,大专,2020/12/24 14:31,1053062714,376.4844629
5111119,1986/9/29,男,未婚,博士,2021/8/3 14:07,1053479282,847.2766683
5019119,1994/6/16,女,未婚,本科,2022/6/30 10:21,1054734700,923.645456
3811120,1977/11/2,男,未婚,研究生,2021/4/6 12:09,1055161143,292.5438685
3512119,1974/10/18,女,未婚,本科,2020/12/30 16:40,1055837118,631.398103
5215118,1990/4/12,男,已婚,研究生,2019/12/11 2:09,1057377623,882.1159886
6314118,1971/6/10,男,未婚,本科,2020/12/12 21:29,1059669914,830.7153508
6418112,1991/3/13,女,未婚,本科,2022/3/25 0:03,1060198989,794.6314827
